key,Начало нагрева дугой,Конец нагрева дугой,Активная мощность,Реактивная мощность
39,2019-05-04 18:04:08,2019-05-04 18:07:43,0.858274,0.54651
39,2019-05-04 18:10:52,2019-05-04 18:14:17,0.423006,0.33759
39,2019-05-04 18:21:06,2019-05-04 18:23:38,0.394423,0.365433
40,2019-05-04 19:19:03,2019-05-04 19:21:30,0.684074,0.533949
40,2019-05-04 19:26:53,2019-05-04 19:30:08,1.00168,0.679165
40,2019-05-04 19:31:31,2019-05-04 19:35:53,0.664973,0.523297
40,2019-05-04 19:39:14,2019-05-04 19:41:16,1.079755,0.692049
40,2019-05-04 19:44:39,2019-05-04 19:46:01,0.739787,0.485185
43,2019-05-04 21:30:45,2019-05-04 21:33:14,0.575046,0.394915
43,2019-05-04 21:36:24,2019-05-04 21:40:03,1.038545,0.764777
43,2019-05-04 21:48:30,2019-05-04 21:51:09,0.359061,0.278094
43,2019-05-04 21:56:50,2019-05-04 21:59:35,1.096611,0.80203
43,2019-05-04 22:00:56,2019-05-04 22:02:39,0.838585,0.70674
43,2019-05-04 22:05:44,2019-05-04 22:06:41,1.014174,0.717038
44,2019-05-04 23:26:33,2019-05-04 23:28:59,1.018485,0.710434
44,2019-05-04 23:31:27,2019-05-04 23:34:49,0.42061,0.321159
44,2019-05-04 23:37:04,2019-05-04 23:41:19,0.565153,0.375698
44,2019-05-04 23:48:07,2019-05-04 23:48:49,0.527123,0.384886
44,2019-05-04 23:49:55,2019-05-04 23:52:07,0.491238,0.395174
44,2019-05-05 00:02:08,2019-05-05 00:03:14,0.32529,0.274241
44,2019-05-05 00:04:41,2019-05-05 00:06:44,0.655168,0.511378
44,2019-05-05 01:49:12,2019-05-05 01:51:46,0.358249,0.283933
44,2019-05-05 01:53:23,2019-05-05 02:03:55,0.35432,0.230237
44,2019-05-05 02:06:31,2019-05-05 02:10:05,1.078357,0.694498
44,2019-05-05 02:21:14,2019-05-05 02:21:41,0.916247,0.653412
44,2019-05-05 02:27:13,2019-05-05 02:28:23,0.588756,0.386179
45,2019-05-05 02:30:29,2019-05-05 02:33:44,0.734426,0.657788
45,2019-05-05 02:36:47,2019-05-05 02:43:45,0.604079,0.431668
45,2019-05-05 02:46:35,2019-05-05 02:49:40,0.502398,0.314384
45,2019-05-05 02:50:45,2019-05-05 02:53:52,0.513161,0.39612
45,2019-05-05 02:55:39,2019-05-05 02:58:05,1.145889,0.782091
45,2019-05-05 03:00:06,2019-05-05 03:04:53,0.436346,0.324023
45,2019-05-05 03:06:09,2019-05-05 03:08:13,0.339542,0.271451
45,2019-05-05 03:37:42,2019-05-05 03:42:49,0.523118,0.342222
45,2019-05-05 03:43:50,2019-05-05 03:46:52,0.468776,0.286236
45,2019-05-05 03:49:12,2019-05-05 03:50:57,1.004546,0.758372
46,2019-05-05 03:52:56,2019-05-05 03:54:38,0.766231,0.543848
46,2019-05-05 03:56:34,2019-05-05 03:59:52,1.132821,0.98041
46,2019-05-05 04:06:27,2019-05-05 04:12:31,0.335039,0.330488
46,2019-05-05 04:45:49,2019-05-05 04:48:00,0.641491,0.446418
46,2019-05-05 04:50:24,2019-05-05 04:56:26,0.822516,0.527241
46,2019-05-05 04:59:21,2019-05-05 05:04:26,0.255721,0.185635
46,2019-05-05 05:08:15,2019-05-05 05:11:15,0.76858,0.545573
46,2019-05-05 05:13:13,2019-05-05 05:16:22,1.187198,0.915032
46,2019-05-05 06:35:28,2019-05-05 06:37:59,0.873421,0.663655
46,2019-05-05 06:40:01,2019-05-05 06:45:12,0.431439,0.297933
46,2019-05-05 06:47:13,2019-05-05 06:53:14,0.250934,0.169249
46,2019-05-05 07:00:15,2019-05-05 07:03:02,0.875135,0.740257
46,2019-05-05 07:14:56,2019-05-05 07:16:34,0.839733,0.706206
47,2019-05-05 07:19:19,2019-05-05 07:21:51,0.557313,0.434119
47,2019-05-05 07:25:06,2019-05-05 07:28:47,0.429092,0.309128
47,2019-05-05 07:31:00,2019-05-05 07:34:08,0.912018,0.659924
48,2019-05-05 07:46:09,2019-05-05 07:48:16,0.847745,0.677409
48,2019-05-05 07:50:47,2019-05-05 07:52:55,0.633587,0.482618
48,2019-05-05 07:55:39,2019-05-05 07:58:40,0.637615,0.434111
48,2019-05-05 08:00:26,2019-05-05 08:02:46,0.805947,0.664547
48,2019-05-05 08:06:36,2019-05-05 08:08:25,0.623596,0.466692
49,2019-05-05 09:51:22,2019-05-05 09:53:28,0.994742,0.706443
50,2019-05-05 10:51:56,2019-05-05 10:53:49,0.369581,0.290227
50,2019-05-05 11:05:32,2019-05-05 11:07:03,0.469825,0.299563
50,2019-05-05 11:09:22,2019-05-05 11:12:22,1.096981,0.797256
50,2019-05-05 11:18:27,2019-05-05 11:21:32,0.424846,0.350962
51,2019-05-05 11:51:03,2019-05-05 11:53:20,0.856847,0.633824
51,2019-05-05 11:55:24,2019-05-05 12:05:35,0.318843,0.232106
51,2019-05-05 12:07:13,2019-05-05 12:15:18,0.67587,0.488079
51,2019-05-05 12:18:01,2019-05-05 12:19:01,0.489835,0.347078
52,2019-05-05 12:26:34,2019-05-05 12:28:42,0.961215,0.842504
52,2019-05-05 12:32:36,2019-05-05 12:42:44,0.451738,0.319224
52,2019-05-05 12:44:34,2019-05-05 12:49:36,0.799848,0.553466
52,2019-05-05 12:51:56,2019-05-05 12:54:32,0.42986,0.306657
52,2019-05-05 12:59:39,2019-05-05 13:01:55,0.537997,0.405021
52,2019-05-05 13:04:20,2019-05-05 13:05:46,0.970915,0.742704
53,2019-05-05 13:13:49,2019-05-05 13:15:57,0.476747,0.378769
53,2019-05-05 13:19:04,2019-05-05 13:27:17,1.199957,0.870847
53,2019-05-05 13:29:27,2019-05-05 13:33:31,0.658706,0.518712
53,2019-05-05 13:38:34,2019-05-05 13:41:37,0.803505,0.559653
54,2019-05-05 13:58:52,2019-05-05 14:01:01,0.460394,0.401572
54,2019-05-05 14:03:37,2019-05-05 14:10:47,0.452085,0.374882
54,2019-05-05 14:13:18,2019-05-05 14:16:15,1.03486,0.779633
54,2019-05-05 14:24:38,2019-05-05 14:26:59,0.562327,0.369471
55,2019-05-05 14:37:30,2019-05-05 14:39:29,0.415164,0.32218
55,2019-05-05 14:41:27,2019-05-05 14:48:31,0.803597,0.524978
55,2019-05-05 14:51:19,2019-05-05 14:57:03,0.838982,0.567044
55,2019-05-05 15:02:48,2019-05-05 15:05:02,0.87208,0.609396
56,2019-05-05 15:20:11,2019-05-05 15:21:58,0.265964,0.181289
56,2019-05-05 15:24:16,2019-05-05 15:30:33,0.560556,0.41257
56,2019-05-05 15:32:41,2019-05-05 15:37:42,0.277583,0.214201
56,2019-05-05 15:41:14,2019-05-05 15:42:31,0.488696,0.325811
56,2019-05-05 15:44:44,2019-05-05 15:46:07,0.452266,0.328962
56,2019-05-05 15:54:43,2019-05-05 15:56:55,0.710102,0.515182
57,2019-05-05 16:09:15,2019-05-05 16:12:39,0.837385,0.588424
57,2019-05-05 16:16:15,2019-05-05 16:20:34,0.513882,0.353143
57,2019-05-05 16:23:33,2019-05-05 16:26:40,1.094412,0.980201
57,2019-05-05 16:33:23,2019-05-05 16:38:05,0.601224,0.408409
57,2019-05-05 16:43:03,2019-05-05 16:45:17,0.416559,0.33447
58,2019-05-05 17:00:59,2019-05-05 17:04:30,0.482053,0.337112
58,2019-05-05 17:09:18,2019-05-05 17:12:42,1.240299,0.983799
58,2019-05-05 17:15:48,2019-05-05 17:18:22,0.946496,0.781758
58,2019-05-05 17:20:49,2019-05-05 17:22:52,0.596991,0.425364
59,2019-05-05 17:50:10,2019-05-05 17:53:30,0.295137,0.201624
59,2019-05-05 17:59:27,2019-05-05 18:01:48,0.621736,0.468265
59,2019-05-05 18:05:28,2019-05-05 18:11:14,0.441236,0.392726
59,2019-05-05 18:15:16,2019-05-05 18:17:18,0.553303,0.439038
59,2019-05-05 18:25:39,2019-05-05 18:27:46,0.705888,0.484497
59,2019-05-05 18:29:52,2019-05-05 18:32:37,0.360432,0.246631
60,2019-05-05 19:13:44,2019-05-05 19:17:01,0.404733,0.336551
60,2019-05-05 19:24:45,2019-05-05 19:27:50,0.564256,0.398585
60,2019-05-05 19:31:22,2019-05-05 19:33:49,0.676491,0.517684
60,2019-05-05 20:01:40,2019-05-05 20:04:40,0.469814,0.36082
61,2019-05-05 20:20:25,2019-05-05 20:24:20,0.541949,0.388269
61,2019-05-05 20:30:19,2019-05-05 20:32:44,1.128812,0.756453
61,2019-05-05 20:34:20,2019-05-05 20:35:48,1.030975,0.753273
62,2019-05-05 21:07:17,2019-05-05 21:08:27,1.237724,0.86772
62,2019-05-05 21:19:51,2019-05-05 21:22:28,1.158881,0.842859
62,2019-05-05 21:40:16,2019-05-05 21:40:48,0.397735,0.313189
62,2019-05-05 21:47:28,2019-05-05 21:51:37,1.107475,0.812689
63,2019-05-05 22:04:58,2019-05-05 22:07:24,0.932174,0.811947
63,2019-05-05 22:11:58,2019-05-05 22:15:15,0.360169,0.223242
63,2019-05-05 22:18:48,2019-05-05 22:21:04,0.451927,0.327448
63,2019-05-05 22:29:26,2019-05-05 22:30:53,0.964415,0.749642
64,2019-05-05 22:47:19,2019-05-05 22:49:19,1.316444,1.05407
64,2019-05-05 22:56:20,2019-05-05 22:58:55,0.829865,0.646825
64,2019-05-05 23:01:05,2019-05-05 23:04:12,0.66174,0.540811
64,2019-05-05 23:30:57,2019-05-05 23:32:18,0.630544,0.533027
64,2019-05-05 23:34:02,2019-05-05 23:36:16,0.46656,0.304033
64,2019-05-05 23:38:12,2019-05-05 23:43:13,0.479458,0.366604
64,2019-05-05 23:44:55,2019-05-05 23:45:54,0.307338,0.223981
65,2019-05-06 00:30:15,2019-05-06 00:32:27,1.032254,0.871342
65,2019-05-06 00:35:03,2019-05-06 00:40:30,0.942166,0.676011
65,2019-05-06 00:50:28,2019-05-06 00:53:40,0.391465,0.286312
65,2019-05-06 00:55:14,2019-05-06 01:00:28,0.369899,0.224713
65,2019-05-06 01:01:55,2019-05-06 01:03:19,0.600336,0.420549
65,2019-05-06 01:04:25,2019-05-06 01:08:26,0.42991,0.333725
65,2019-05-06 01:09:34,2019-05-06 01:12:34,0.677809,0.564424
66,2019-05-06 01:24:04,2019-05-06 01:27:21,0.695561,0.474816
66,2019-05-06 01:30:55,2019-05-06 01:34:48,0.690472,0.544429
66,2019-05-06 01:37:03,2019-05-06 01:40:10,1.271746,0.911297
66,2019-05-06 01:41:23,2019-05-06 01:44:53,0.700561,0.472834
66,2019-05-06 01:47:38,2019-05-06 01:49:56,0.477525,0.346788
67,2019-05-06 01:58:15,2019-05-06 02:00:36,0.496127,0.377992
67,2019-05-06 02:02:47,2019-05-06 02:09:44,0.549714,0.432859
67,2019-05-06 02:12:50,2019-05-06 02:16:01,0.767472,0.650484
67,2019-05-06 02:17:37,2019-05-06 02:19:23,0.456488,0.378535
68,2019-05-06 02:27:17,2019-05-06 02:29:03,0.42816,0.284013
68,2019-05-06 02:32:50,2019-05-06 02:35:51,0.476343,0.34988
68,2019-05-06 02:37:48,2019-05-06 02:40:03,1.02486,0.722408
69,2019-05-06 02:50:30,2019-05-06 02:53:40,0.715099,0.492469
69,2019-05-06 02:58:15,2019-05-06 03:01:17,0.309908,0.194787
69,2019-05-06 03:09:47,2019-05-06 03:11:28,0.869881,0.607916
69,2019-05-06 03:16:43,2019-05-06 03:19:22,0.846095,0.606771
69,2019-05-06 03:29:46,2019-05-06 03:32:08,0.559417,0.463819
69,2019-05-06 03:34:35,2019-05-06 03:35:28,0.75358,0.552227
70,2019-05-06 03:44:26,2019-05-06 03:46:34,1.272942,0.861167
70,2019-05-06 03:47:55,2019-05-06 03:51:37,0.602669,0.413677
70,2019-05-06 03:57:52,2019-05-06 03:59:04,1.030472,0.754015
70,2019-05-06 04:00:31,2019-05-06 04:02:06,1.341706,0.950409
70,2019-05-06 04:04:10,2019-05-06 04:05:16,0.64191,0.427219
71,2019-05-06 04:16:13,2019-05-06 04:18:52,0.58737,0.382669
71,2019-05-06 04:21:42,2019-05-06 04:25:13,0.419283,0.316126
71,2019-05-06 04:32:39,2019-05-06 04:34:49,0.579096,0.37018
71,2019-05-06 04:46:36,2019-05-06 04:49:05,0.451684,0.39303
72,2019-05-06 05:05:19,2019-05-06 05:07:03,0.411758,0.260616
72,2019-05-06 05:09:50,2019-05-06 05:12:08,1.039055,0.765862
73,2019-05-06 05:26:13,2019-05-06 05:28:44,0.771207,0.549849
73,2019-05-06 05:30:41,2019-05-06 05:34:41,1.025665,0.677882
73,2019-05-06 05:38:24,2019-05-06 05:40:22,0.69464,0.470218
73,2019-05-06 05:50:11,2019-05-06 05:51:27,0.515782,0.365429
73,2019-05-06 05:58:41,2019-05-06 06:00:43,0.377558,0.246875
73,2019-05-06 06:06:19,2019-05-06 06:06:57,0.5757,0.509065
74,2019-05-06 06:11:13,2019-05-06 06:13:25,0.561246,0.382824
74,2019-05-06 06:16:19,2019-05-06 06:22:21,0.905615,0.713208
74,2019-05-06 06:25:29,2019-05-06 06:28:38,1.011683,0.676781
74,2019-05-06 06:30:28,2019-05-06 06:32:24,1.041834,0.730905
74,2019-05-06 06:35:43,2019-05-06 06:37:19,0.523125,0.353234
75,2019-05-06 06:56:52,2019-05-06 06:59:07,0.477,0.330115
75,2019-05-06 07:09:51,2019-05-06 07:11:47,0.888098,0.605022
75,2019-05-06 07:26:27,2019-05-06 07:27:45,0.279874,0.268577
76,2019-05-06 07:33:49,2019-05-06 07:36:04,0.905463,0.598868
76,2019-05-06 07:51:50,2019-05-06 07:53:49,0.478879,0.351522
76,2019-05-06 08:02:46,2019-05-06 08:04:11,0.251871,0.220122
77,2019-05-06 08:20:17,2019-05-06 08:22:37,0.712703,0.533761
77,2019-05-06 08:25:17,2019-05-06 08:35:22,0.724107,0.565139
77,2019-05-06 08:38:13,2019-05-06 08:40:30,1.223543,0.836889
77,2019-05-06 08:51:45,2019-05-06 08:54:57,0.446551,0.321794
77,2019-05-06 08:57:42,2019-05-06 08:59:04,0.63582,0.452262
77,2019-05-06 09:03:36,2019-05-06 09:04:36,0.336457,0.255667
78,2019-05-06 09:10:46,2019-05-06 09:13:28,0.91252,0.660488
78,2019-05-06 09:18:07,2019-05-06 09:23:12,0.890668,0.542372
78,2019-05-06 09:24:56,2019-05-06 09:28:03,0.310684,0.206528
78,2019-05-06 09:30:16,2019-05-06 09:32:46,0.52828,0.371342
